true\pred,Strawberry,Cowpea,Soybean,Sorghum,Water spinach,Watermelon,Greens,Trees,Grass,Red roof,Gray roof,Plastic
Strawberry,29093,0,0,0,0,196,0,0,157,25,479,1364
Cowpea,49,11975,0,0,0,77,1152,1712,953,4,5,0
Soybean,0,0,7017,3,0,26,0,155,0,0,0,0
Sorghum,0,0,13,3718,0,0,0,0,16,0,0,0
Water spinach,0,0,0,0,840,0,0,0,0,0,0,0
Watermelon,88,1,0,0,0,2650,0,153,260,15,3,3
Greens,0,0,0,0,0,0,4065,38,0,0,29,0
Trees,15,262,106,0,0,263,503,10873,414,0,98,50
Grass,107,13,15,2,35,6,714,184,5349,0,201,2
Red roof,16,2,0,0,0,0,0,10,4,7028,279,22
Gray roof,0,0,0,0,0,0,93,39,39,30,11418,219
Plastic,0,0,0,0,0,0,0,0,0,0,0,2575
