true\pred,Strawberry,Cowpea,Soybean,Sorghum,Water spinach,Watermelon,Greens,Trees,Grass,Red roof,Gray roof,Plastic,Bare soil,Road,Bright object
Strawberry,27702,0,0,0,0,189,0,0,122,6,371,367,811,1520,226
Cowpea,14,11810,0,0,0,76,1096,1762,996,0,4,0,162,0,7
Soybean,0,0,7034,3,0,16,0,145,0,0,0,0,3,0,0
Sorghum,0,0,11,3722,0,0,0,0,14,0,0,0,0,0,0
Water spinach,0,0,0,0,840,0,0,0,0,0,0,0,0,0,0
Watermelon,48,1,0,0,0,2623,0,154,244,10,4,0,83,3,3
Greens,0,0,0,0,0,0,4062,38,0,0,18,0,14,0,0
Trees,14,252,112,0,0,223,474,10927,431,0,75,29,37,10,0
Grass,60,9,13,4,37,5,635,188,5382,0,151,0,84,5,55
Red roof,3,1,0,0,0,0,0,11,0,6930,329,13,49,23,2
Gray roof,0,0,0,0,0,0,102,47,40,29,10961,93,23,541,2
Plastic,0,0,0,0,0,0,0,0,0,0,0,1466,27,1074,8
Bare soil,592,41,9,1,0,134,500,43,261,0,221,202,3545,822,10
Road,204,0,0,0,0,0,3,0,13,0,331,18,138,12211,74
Bright object,0,0,0,0,0,0,0,0,1,0,0,0,0,0,794
