class_id,class_name,precision_percent,recall_percent,f1_percent,accuracy_percent,support,predicted_count
0,Strawberry,96.73499298095703,88.46522521972656,92.41547393798828,88.46522521972656,31314,28637
1,Cowpea,97.49050903320312,74.15081024169922,84.23379516601562,74.15081024169922,15927,12114
2,Soybean,97.98021697998047,97.68087768554688,97.830322265625,97.68087768554688,7201,7179
3,Sorghum,99.7855224609375,99.33279418945312,99.55864715576172,99.33279418945312,3747,3730
4,Water spinach,95.78106689453125,100.0,97.84508514404297,100.0,840,877
5,Watermelon,80.31230926513672,82.66624450683594,81.47227478027344,82.66624450683594,3173,3266
6,Greens,59.109432220458984,98.305908203125,73.82769775390625,98.305908203125,4132,6872
7,Trees,82.06533813476562,86.83248901367188,84.38163757324219,86.83248901367188,12584,13315
8,Grass,71.72174835205078,81.20096588134766,76.16755676269531,81.20096588134766,6628,7504
9,Red roof,99.35484313964844,94.14481353759766,96.6796875,94.14481353759766,7361,6975
10,Gray roof,87.93421173095703,92.5916519165039,90.20285034179688,92.5916519165039,11838,12465
11,Plastic,67.00182342529297,56.932037353515625,61.55783462524414,56.932037353515625,2575,2188
12,Bare soil,71.2419662475586,55.55555725097656,62.428462982177734,55.55555725097656,6381,4976
13,Road,75.3346939086914,93.98860931396484,83.63411712646484,93.98860931396484,12992,16209
14,Bright object,67.23116302490234,99.87421417236328,80.36437225341797,99.87421417236328,795,1181
