true\pred,Strawberry,Cowpea,Soybean,Sorghum,Water spinach,Watermelon,Greens,Trees,Grass,Red roof,Gray roof,Plastic,Bare soil,Road,Bright object,Water
Strawberry,25318,0,0,0,8,176,11,0,57,12,1637,169,272,3419,235,0
Cowpea,3,10551,0,0,0,84,1261,2115,1535,2,0,0,370,0,6,0
Soybean,0,0,7070,6,0,17,0,96,1,0,0,0,11,0,0,0
Sorghum,0,0,16,3715,0,0,0,0,16,0,0,0,0,0,0,0
Water spinach,0,0,0,0,840,0,0,0,0,0,0,0,0,0,0,0
Watermelon,109,6,0,0,13,2506,0,160,297,12,0,2,59,3,4,2
Greens,0,0,0,0,0,0,3789,71,51,0,0,0,49,4,0,168
Trees,15,136,233,0,5,426,330,10802,457,1,16,2,112,6,0,43
Grass,109,1,21,0,98,4,165,261,5196,0,16,0,39,0,72,646
Red roof,2,0,0,0,0,0,1,17,0,6708,509,8,61,50,4,1
Gray roof,0,0,0,0,0,0,135,64,112,65,7817,86,43,116,2,3398
Plastic,29,0,0,0,0,0,0,0,0,7,497,641,77,1141,183,0
Bare soil,687,37,3,0,25,87,818,35,251,8,623,112,2818,853,17,7
Road,1147,0,0,0,0,0,7,0,0,0,2704,188,205,6715,1928,98
Bright object,0,0,0,0,0,0,0,0,20,0,0,3,0,12,760,0
Water,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,52767
