true\pred,Alfalfa,Corn-notill,Corn-mintill,Corn,Grass-pasture,Grass-trees,Grass-pasture-mowed,Hay-windrowed,Oats,Soybean-notill,Soybean-mintill,Soybean-clean,Wheat,Woods,Buildings-Grass-Trees-Drives
Alfalfa,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Corn-notill,0,877,0,0,0,4,0,0,0,40,66,11,0,1,0
Corn-mintill,0,54,482,1,2,2,0,0,8,6,18,5,3,0,0
Corn,0,4,6,156,0,0,0,0,0,0,0,0,0,0,0
Grass-pasture,0,0,0,0,329,0,7,0,1,0,1,0,0,0,0
Grass-trees,0,1,0,2,1,498,0,0,0,0,3,0,0,6,0
Grass-pasture-mowed,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
Hay-windrowed,0,0,0,0,0,0,0,333,0,0,0,0,0,1,0
Oats,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Soybean-notill,2,23,36,0,12,0,0,0,0,549,56,0,0,3,0
Soybean-mintill,0,104,2,0,5,20,0,0,0,5,1564,10,0,7,1
Soybean-clean,0,15,2,4,0,0,0,0,0,13,8,372,0,0,1
Wheat,0,0,0,0,0,0,0,0,0,0,0,0,144,0,0
Woods,0,0,0,0,3,0,0,0,0,0,1,1,0,868,13
Buildings-Grass-Trees-Drives,0,1,0,0,0,0,0,0,0,4,0,0,0,0,265
