class_id,class_name,precision_percent,recall_percent,f1_percent,accuracy_percent,support,predicted_count
0,Alfalfa,91.30435180664062,100.0,95.45454406738281,100.0,21,23
1,Corn-notill,81.27896118164062,87.78778839111328,84.40808868408203,87.78778839111328,999,1079
2,Corn-mintill,91.28787994384766,82.96041870117188,86.92516326904297,82.96041870117188,581,528
3,Corn,95.70552062988281,93.97589874267578,94.83282470703125,93.97589874267578,166,163
4,Grass-pasture,93.20113372802734,97.33727264404297,95.22431182861328,97.33727264404297,338,353
5,Grass-trees,95.21988677978516,97.45596313476562,96.324951171875,97.45596313476562,511,523
6,Grass-pasture-mowed,41.666664123535156,100.0,58.82353210449219,100.0,5,12
7,Hay-windrowed,100.0,99.70059967041016,99.8500747680664,99.70059967041016,334,333
8,Oats,10.0,100.0,18.18181800842285,100.0,1,10
9,Soybean-notill,88.97892761230469,80.61674499511719,84.59168243408203,80.61674499511719,681,617
10,Soybean-mintill,91.089111328125,91.03608703613281,91.06258392333984,91.03608703613281,1718,1717
11,Soybean-clean,93.05912780761719,87.22891998291016,90.04975128173828,87.22891998291016,415,389
12,Wheat,97.95918273925781,100.0,98.96907043457031,100.0,144,147
13,Woods,97.96839904785156,97.96839904785156,97.96839904785156,97.96839904785156,886,886
14,Buildings-Grass-Trees-Drives,94.64286041259766,98.14814758300781,96.36363983154297,98.14814758300781,270,280
15,Stone-Steel-Towers,86.48648834228516,100.0,92.75362396240234,100.0,64,74
