true\pred,Weeds_1,Weeds_2,Fallow,Fallow_rough_plow,Fallow_smooth,Stubble,Celery,Grapes_untrained,Soil_vinyard_develop,Corn_Weeds,Lettuce_4wk,Lettuce_5wk,Lettuce_6wk,Lettuce_7wk,Vinyard_untrained,Vinyard_trellis
Weeds_1,1398,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Weeds_2,3,2605,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fallow,0,0,1383,0,0,0,0,0,0,0,0,0,0,0,0,0
Fallow_rough_plow,0,0,0,974,2,0,0,0,0,0,0,0,0,0,0,0
Fallow_smooth,0,0,0,20,1854,0,0,0,0,0,0,0,0,0,0,0
Stubble,0,0,0,0,0,2771,0,0,0,0,0,0,0,0,0,0
Celery,0,0,0,0,0,0,2504,0,0,0,0,0,0,0,0,1
Grapes_untrained,0,0,0,0,0,0,0,6118,0,22,0,0,0,0,1747,3
Soil_vinyard_develop,0,0,0,0,0,0,0,0,4320,22,0,0,0,0,0,0
Corn_Weeds,0,0,1,0,0,0,0,0,0,2291,0,0,0,2,0,0
Lettuce_4wk,0,0,0,0,0,0,0,0,0,0,747,0,0,0,0,0
Lettuce_5wk,0,0,2,0,0,0,0,0,0,0,0,1346,1,0,0,0
Lettuce_6wk,0,0,0,0,1,0,0,0,0,2,0,0,638,0,0,0
Lettuce_7wk,0,0,0,0,0,0,0,0,0,0,0,0,0,749,0,0
Vinyard_untrained,0,0,0,1,0,0,0,41,0,0,0,0,0,0,5045,0
Vinyard_trellis,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1262
