class_id,class_name,precision_percent,recall_percent,f1_percent,accuracy_percent,support,predicted_count
0,Weeds_1,99.7858657836914,99.4310073852539,99.60812377929688,99.4310073852539,1406,1401
1,Weeds_2,99.69384002685547,99.88497161865234,99.78931427001953,99.88497161865234,2608,2613
2,Fallow,99.78355407714844,100.0,99.89165496826172,100.0,1383,1386
3,Fallow_rough_plow,97.69307708740234,99.79508209228516,98.7328872680664,99.79508209228516,976,997
4,Fallow_smooth,99.83844757080078,98.93276977539062,99.383544921875,98.93276977539062,1874,1857
5,Stubble,100.0,100.0,100.0,100.0,2771,2771
6,Celery,100.0,99.9600830078125,99.98003387451172,99.9600830078125,2505,2504
7,Grapes_untrained,99.33430480957031,77.54119110107422,87.09516906738281,77.54119110107422,7890,6159
8,Soil_vinyard_develop,100.0,99.49331665039062,99.74601745605469,99.49331665039062,4342,4320
9,Corn_Weeds,98.03166198730469,99.86922454833984,98.94190979003906,99.86922454833984,2294,2337
10,Lettuce_4wk,100.0,100.0,100.0,100.0,747,747
11,Lettuce_5wk,100.0,99.77761840820312,99.88867950439453,99.77761840820312,1349,1346
12,Lettuce_6wk,99.843505859375,99.53197479248047,99.6875,99.53197479248047,641,639
13,Lettuce_7wk,99.73368835449219,100.0,99.86666107177734,100.0,749,751
14,Vinyard_untrained,74.26762390136719,99.17436981201172,84.93266296386719,99.17436981201172,5087,6793
15,Vinyard_trellis,99.68404388427734,99.76284790039062,99.72342681884766,99.76284790039062,1265,1266
