true\pred,Alfalfa,Corn-notill,Corn-mintill,Corn,Grass-pasture,Grass-trees,Grass-pasture-mowed,Hay-windrowed,Oats,Soybean-notill,Soybean-mintill,Soybean-clean
Alfalfa,21,0,0,0,0,0,0,0,0,0,0,0
Corn-notill,1,770,9,9,1,2,0,0,0,125,62,20
Corn-mintill,0,27,471,3,2,1,0,0,0,14,47,16
Corn,0,0,0,166,0,0,0,0,0,0,0,0
Grass-pasture,0,3,0,0,321,1,13,0,0,0,0,0
Grass-trees,0,0,0,0,10,500,0,0,0,0,1,0
Grass-pasture-mowed,0,0,0,0,0,0,5,0,0,0,0,0
Hay-windrowed,0,3,0,0,0,0,0,326,0,1,4,0
Oats,0,0,0,0,0,0,0,0,1,0,0,0
Soybean-notill,2,24,16,0,1,1,0,0,0,580,25,32
Soybean-mintill,0,124,40,0,6,13,0,0,0,73,1435,27
Soybean-clean,0,29,11,5,0,0,0,0,0,8,1,361
