true\pred,Alfalfa,Corn-notill,Corn-mintill,Corn,Grass-pasture,Grass-trees,Grass-pasture-mowed,Hay-windrowed,Oats,Soybean-notill,Soybean-mintill,Soybean-clean
Alfalfa,21,0,0,0,0,0,0,0,0,0,0,0
Corn-notill,1,775,9,9,0,2,0,0,0,125,60,18
Corn-mintill,0,23,470,4,1,1,0,0,0,21,45,16
Corn,0,0,0,166,0,0,0,0,0,0,0,0
Grass-pasture,0,3,0,0,321,1,13,0,0,0,0,0
Grass-trees,0,0,0,0,10,499,0,0,0,0,2,0
Grass-pasture-mowed,0,0,0,0,0,0,5,0,0,0,0,0
Hay-windrowed,0,3,0,0,0,0,0,326,0,1,4,0
Oats,0,0,0,0,0,0,0,0,1,0,0,0
Soybean-notill,2,27,15,0,1,1,0,0,0,574,27,34
Soybean-mintill,0,125,43,0,5,12,0,0,0,71,1433,29
Soybean-clean,0,32,9,5,0,0,0,0,0,9,3,357
