class_id,class_name,precision_percent,recall_percent,f1_percent,accuracy_percent,support,predicted_count
0,Alfalfa,87.5,100.0,93.33333587646484,100.0,21,24
1,Corn-notill,78.44129943847656,77.57757568359375,78.00704956054688,77.57757568359375,999,988
2,Corn-mintill,86.0805892944336,80.89500427246094,83.40727996826172,80.89500427246094,581,546
3,Corn,90.21739196777344,100.0,94.85713958740234,100.0,166,184
4,Grass-pasture,94.97041320800781,94.97041320800781,94.97041320800781,94.97041320800781,338,338
5,Grass-trees,96.7054214477539,97.65165710449219,97.17623901367188,97.65165710449219,511,516
6,Grass-pasture-mowed,27.77777862548828,100.0,43.47826385498047,100.0,5,18
7,Hay-windrowed,100.0,97.60478973388672,98.78787994384766,97.60478973388672,334,326
8,Oats,100.0,100.0,100.0,100.0,1,1
9,Soybean-notill,71.6604232788086,84.28781127929688,77.462890625,84.28781127929688,681,801
10,Soybean-mintill,91.04193115234375,83.41094207763672,87.05953216552734,83.41094207763672,1718,1574
11,Soybean-clean,78.63436126708984,86.02409362792969,82.16341400146484,86.02409362792969,415,454
