true\pred,Alfalfa,Corn-notill,Corn-mintill,Corn,Grass-pasture,Grass-trees,Grass-pasture-mowed,Hay-windrowed,Oats,Soybean-notill,Soybean-mintill,Soybean-clean,Wheat,Woods,Buildings-Grass-Trees-Drives
Alfalfa,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Corn-notill,1,775,9,9,0,2,0,0,0,125,60,18,0,0,0
Corn-mintill,0,23,466,4,1,0,0,0,0,21,45,16,5,0,0
Corn,0,0,0,166,0,0,0,0,0,0,0,0,0,0,0
Grass-pasture,0,3,0,0,320,1,13,0,0,0,0,0,0,1,0
Grass-trees,0,0,0,0,6,496,0,0,0,0,2,0,0,7,0
Grass-pasture-mowed,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
Hay-windrowed,0,3,0,0,0,0,0,326,0,1,4,0,0,0,0
Oats,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Soybean-notill,2,27,15,0,1,1,0,0,0,572,27,28,0,0,8
Soybean-mintill,0,123,43,0,5,12,0,0,0,67,1432,21,0,3,12
Soybean-clean,0,32,9,5,0,0,0,0,0,9,3,357,0,0,0
Wheat,0,0,0,0,5,0,0,0,0,0,0,0,139,0,0
Woods,0,0,0,0,6,0,0,0,0,1,0,0,0,824,55
Buildings-Grass-Trees-Drives,0,0,0,0,0,0,0,0,0,0,0,1,0,0,269
